Date,US_2Y,US_10Y,US_SP500,EA_2Y_ECB,EA_10Y_ECB,DE_10Y,FR_10Y,IT_10Y,ES_10Y,NL_10Y,BE_10Y,AT_10Y,FI_10Y,GR_10Y,IE_10Y,PT_10Y,DE_DAX,FR_CAC40,IT_FTSEMIB,ES_IBEX35,NL_AEX,BE_BEL20,AT_ATX,FI_OMX25,GR_ASE,IE_ISEQ,GB_10Y,CH_10Y,SE_10Y,NO_10Y,DK_10Y,JP_10Y,AU_10Y,NZ_10Y,CA_10Y,UK_FTSE100,CH_SMI,SE_OMX30,DK_OMXC25,JP_Nikkei225,AU_ASX200,NZ_NZX50,CA_TSX,MX_10Y,CL_10Y,IN_10Y,KR_10Y,ZA_10Y,IL_10Y,HU_10Y,PL_10Y,CZ_10Y,BR_Bovespa,MX_IPC,CL_IPSA,IN_Nifty50,KR_KOSPI,ZA_JSE,IL_TA125,HU_BUX,SG_STI,HK_HangSeng,MY_KLCI,ID_IDX,TH_SET,PH_PSEi,CN_SSEComposite,AR_Merval,SA_TASI,EE_OMXTallinn,LV_OMXRiga,LT_OMXVilnius,RU_MOEX,IS_OMXI,EA_EuroStoxx50,RU_10Y_monthly
2017-02-02,1.21,2.48,2280.85009765625,-0.7505927552112399,0.4573210304258124,,,,,,,,,,,,11627.9501953125,4794.2900390625,18889.0,9406.400390625,482.19000244140625,3586.830078125,2729.760009765625,3677.419921875,623.0599975585938,6470.7998046875,,,,,,,,,,7140.7998046875,8276.7001953125,1551.8499755859375,1055.489990234375,18914.580078125,5645.39990234375,7053.5400390625,15399.099609375,,,,,,,,,,64578.0,47095.0703125,4226.06982421875,8734.25,2071.010009765625,52719.578125,1248.68994140625,32575.16015625,3044.080078125,23184.51953125,1673.47998046875,5353.712890625,1572.6700439453125,7225.91015625,,19375.0,7098.64013671875,1105.1800537109375,,565.260009765625,2217.56005859375,1226.6199951171875,3253.610107421875,
2017-02-03,1.21,2.49,2297.419921875,-0.7588422284229477,0.4729768523651931,,,,,,,,,,,,11651.490234375,4825.419921875,19116.0,9462.7001953125,485.9200134277344,3606.159912109375,2730.77001953125,3654.06005859375,628.9199829101562,6510.669921875,,,,,,,,,,7188.2998046875,8350.83984375,1557.31005859375,1060.7900390625,18918.19921875,5621.60009765625,7094.3798828125,15476.400390625,,,,,,,,,,64954.0,47225.1015625,4261.97998046875,8740.9501953125,2073.159912109375,52265.16015625,,32905.890625,3041.93994140625,23129.2109375,1685.010009765625,5360.76708984375,1582.949951171875,7226.7001953125,3140.169921875,19201.0,,1103.550048828125,,568.219970703125,2226.610107421875,1227.800048828125,3273.110107421875,
2017-02-06,1.16,2.42,2292.56005859375,-0.7777718685984447,0.4080802553219613,,,,,,,,,,,,11509.83984375,4778.080078125,18694.0,9357.2998046875,482.0799865722656,3578.10009765625,2711.989990234375,3638.699951171875,620.75,6448.47998046875,,,,,,,,,,7172.2001953125,8330.9296875,1548.9000244140625,1053.77001953125,18976.7109375,5615.60009765625,,15456.900390625,,,,,,,,,,63993.0,,4247.169921875,8801.0498046875,2077.659912109375,52151.16015625,1248.8499755859375,32388.91015625,3056.909912109375,23348.240234375,1691.239990234375,5395.9951171875,1589.1300048828125,7294.39990234375,3156.98388671875,19249.0,7062.35009765625,1108.3599853515625,,567.2000122070312,2210.510009765625,1227.3599853515625,3238.31005859375,
2017-02-07,1.16,2.4,2293.080078125,-0.7822619182723862,0.4465261517294809,,,,,,,,,,,,11549.4404296875,4754.47021484375,18663.0,9331.5,484.2799987792969,3589.7099609375,2712.760009765625,3654.820068359375,623.3699951171875,6395.72998046875,,,,,,,,,,7186.2001953125,8370.1396484375,1550.93994140625,1052.3800048828125,18910.779296875,5621.89990234375,7067.0498046875,15498.7998046875,,,,,,,,,,64199.0,46728.94921875,4257.77978515625,8768.2998046875,2075.2099609375,52181.91015625,1252.77001953125,32539.529296875,3071.639892578125,23331.5703125,1688.8399658203125,5381.47509765625,1582.52001953125,7262.64013671875,3153.087890625,19194.0,7038.6201171875,1106.1099853515625,,567.010009765625,2218.77001953125,1224.469970703125,3235.7099609375,
2017-02-08,1.15,2.34,2294.669921875,-0.8131281606106309,0.3785483976808712,,,,,,,,,,,,11543.3798828125,4766.60009765625,18772.0,9329.7001953125,483.510009765625,3584.030029296875,2706.110107421875,3652.489990234375,610.8599853515625,6410.85986328125,,,,,,,,,,7188.7998046875,8378.73046875,1549.239990234375,1044.9000244140625,19007.599609375,5651.39990234375,7066.27001953125,15554.0,,,,,,,,,,64835.0,46921.7109375,4267.330078125,8769.0498046875,2065.080078125,51803.48046875,1244.8699951171875,32595.919921875,3066.530029296875,23485.130859375,1688.5,5361.087890625,1589.2900390625,7234.81982421875,3166.98193359375,19148.0,6967.39990234375,1105.489990234375,,564.4099731445312,2189.610107421875,1213.050048828125,3238.0400390625,
2017-02-09,1.2,2.4,2307.8701171875,-0.8053079347424195,0.3598197795361888,,,,,,,,,,,,11642.8603515625,4826.240234375,18947.0,9438.400390625,488.5,3611.669921875,2737.489990234375,3681.929931640625,608.7899780273438,6477.16015625,,,,,,,,,,7229.5,8437.5400390625,1557.5,1060.93994140625,18907.669921875,5664.60009765625,7121.6298828125,15617.2998046875,,,,,,,,,,64965.0,47232.171875,4296.14990234375,8778.400390625,2065.8798828125,51904.33984375,1253.68994140625,32949.078125,3079.9599609375,23525.140625,,5372.0771484375,1583.25,7252.66015625,3183.178955078125,19302.0,6969.259765625,1107.81005859375,,562.7100219726562,2173.97998046875,1247.4100341796875,3277.7900390625,
2017-02-10,1.2,2.41,2316.10009765625,-0.7931039360966139,0.3991134809784622,,,,,,,,,,,,11666.9697265625,4828.31982421875,18862.0,9378.099609375,489.55999755859375,3590.949951171875,2758.989990234375,3697.68994140625,623.7899780273438,6477.830078125,,,,,,,,,,7258.7998046875,8456.2197265625,1562.72998046875,1065.9100341796875,19378.9296875,5720.60009765625,7104.43994140625,15729.099609375,,,,,,,,,,66125.0,47797.0390625,4312.22998046875,8793.5498046875,2075.080078125,52687.2890625,,33156.08984375,3100.389892578125,23574.98046875,1698.93994140625,5371.6689453125,1585.239990234375,7235.2099609375,3196.698974609375,19503.0,,1104.3800048828125,,559.6199951171875,2162.18994140625,1278.9300537109375,3270.830078125,
2017-02-13,1.2,2.43,2328.25,-0.8020430442656616,0.3986655345784204,,,,,,,,,,,,11774.4296875,4888.18994140625,19065.0,9484.099609375,494.04998779296875,3617.60009765625,2782.280029296875,3723.43994140625,629.1400146484375,6550.58984375,,,,,,,,,,7278.89990234375,8462.8798828125,1572.1800537109375,1071.5799560546875,19459.150390625,5760.7001953125,7135.5,15756.599609375,,,,,,,,,,66968.0,47661.69140625,4358.43017578125,8805.0498046875,2078.64990234375,52956.7109375,1274.550048828125,33356.19140625,3111.6298828125,23710.98046875,1710.239990234375,5409.55615234375,,7294.669921875,3216.839111328125,19508.0,7059.5498046875,1112.9599609375,,558.3300170898438,2161.489990234375,1292.72998046875,3305.22998046875,
2017-02-14,1.25,2.47,2337.580078125,-0.8041668456169067,0.3984575264499059,,,,,,,,,,,,11771.8095703125,4895.81982421875,19188.0,9510.2001953125,494.6199951171875,3624.18994140625,2792.47998046875,3724.52001953125,633.3200073242188,6531.3701171875,,,,,,,,,,7268.60009765625,8426.150390625,1569.75,1071.5,19238.98046875,5755.2001953125,7150.89013671875,15786.0,,,,,,,,,,66713.0,47391.23828125,4343.0,8792.2998046875,2074.570068359375,52465.640625,1275.9000244140625,33724.51953125,3072.469970703125,23703.009765625,1708.9000244140625,5380.669921875,1572.239990234375,7206.83984375,3217.927978515625,19606.0,7032.64990234375,1112.3399658203125,,559.2899780273438,2141.5,1295.3299560546875,3308.889892578125,
2017-02-15,1.27,2.51,2349.25,-0.7959800892380877,0.4438066964678984,,,,,,,,,,,,11793.9296875,4924.85986328125,19056.0,9584.099609375,496.6600036621094,3618.56005859375,2807.909912109375,3749.429931640625,626.2899780273438,6556.4599609375,,,,,,,,,,7302.39990234375,8486.26953125,1574.02001953125,1074.7900390625,19437.98046875,5809.10009765625,7180.02978515625,15845.0,,,,,,,,,,67976.0,47161.73828125,4354.64990234375,8724.7001953125,2083.860107421875,52485.16015625,1282.5699462890625,33981.5,3088.47998046875,23994.869140625,1709.7900390625,,1573.3699951171875,7174.2998046875,3212.986083984375,19657.0,7073.68994140625,1116.3399658203125,,560.8200073242188,2137.080078125,1283.6700439453125,3323.7099609375,
